address,district,area,bedrooms,garage,type,rent,total,area_z,bedrooms_z,garage_z,standard_score,high_standard,standard_score_type,high_standard_type
Rua Barão de Tatuí,Vila Buarque,21,1,0,Studio e kitnet,1000,1428,-0.8632404549117156,-1.0421968680895024,-0.9385440628021179,-2.843981385803336,0,-1.704674142558171,0
Rua Xavier Krauss,Vila Leopoldina,35,2,0,Apartamento,2550,3017,-0.6740604351233201,0.03257732861801848,-0.9385440628021179,-1.5800271693074195,0,-1.8887252883086227,0
Rua Pamplona,Cerqueira César,49,1,1,Apartamento,3000,3967,-0.48488041533492465,-1.0421968680895024,-0.05536504964913233,-1.5824423330735593,0,-1.7516080708122213,0
Rua Professor Arnaldo João Semeraro,Jardim Santa Emilia,64,2,1,Apartamento,1550,2060,-0.2821875369902152,0.03257732861801848,-0.05536504964913233,-0.3049752580213291,0,-0.2019109648234752,0
Rua Dona Elisa,Barra Funda,70,3,1,Apartamento,4800,5790,-0.20111038565233139,1.1073515253255395,-0.05536504964913233,0.8508760900240757,0,1.1706891426216692,0
Rua Cônego Vicente Miguel Marino,Barra Funda,99,3,2,Apartamento,4500,5566,0.19076251248077356,1.1073515253255395,0.8278139635038533,2.1259280013101662,0,2.8575034661068166,0
Rua Frei Caneca,Consolação,28,1,0,Studio e kitnet,1700,2366,-0.7686504450175179,-1.0421968680895024,-0.9385440628021179,-2.749391375909138,0,-0.9438919958421406,0
Rua Gustavo da Silveira,Vila Santa Catarina,160,4,1,Casa,3000,3137,1.0150468844159253,2.1821257220330605,-0.05536504964913233,3.1418075567998534,0,1.389481468254278,0
Rua Arnaldo Cintra,Vila Moreira,49,2,1,Apartamento,1995,2636,-0.48488041533492465,0.03257732861801848,-0.05536504964913233,-0.5076681363660385,0,-0.4970726290628113,0
Rua Otto de Barros,Vila Santo Estéfano,58,2,2,Apartamento,2120,3223,-0.36326468832809894,0.03257732861801848,0.8278139635038533,0.4971266037937728,0,0.7961928087698882,0
Rua Santa Izabel,Vila Augusta,66,2,2,Apartamento,2600,3254,-0.25516181987758724,0.03257732861801848,0.8278139635038533,0.6052294722442846,0,0.9536123630308675,0
Rua São Miguel,Bela Vista,35,1,1,Apartamento,2500,3296,-0.6740604351233201,-1.0421968680895024,-0.05536504964913233,-1.7716223528619548,0,-2.0270922907689353,0
Rua Riskallah Jorge,Centro Histórico de São Paulo,28,0,0,Studio e kitnet,1207,1647,-0.7686504450175179,-2.1169710647970232,-0.9385440628021179,-3.8241655726166592,0,-5.82468175442928,0
Rua Nanuque,Vila Leopoldina,115,3,2,Apartamento,4450,6177,0.406968249381797,1.1073515253255395,0.8278139635038533,2.3421337382111895,0,3.1723425746287752,1
Rua Olímpia de Almeida Prado,Barra Funda,33,1,1,Studio e kitnet,2550,3286,-0.7010861522359481,-1.0421968680895024,-0.05536504964913233,-1.7986480699745828,0,1.7544967709635149,0
Rua do Lavapés,Cambuci,45,2,0,Apartamento,2500,3046,-0.5389318495601805,0.03257732861801848,-0.9385440628021179,-1.4448985837442798,0,-1.6919508454823988,0
